@relation 'train3-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O2.5-E6.0-weka.filters.unsupervised.attribute.Remove-R82-83-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O2.5-E10.0-weka.filters.unsupervised.attribute.Remove-R82-83-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O2.2-E8.0-weka.filters.unsupervised.attribute.Remove-R82-83-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O4.0-E6.0-weka.filters.unsupervised.attribute.Remove-R82-83-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C82-Llast-weka.filters.unsupervised.attribute.Remove-R82-83-weka.filters.unsupervised.attribute.Remove-R2-3,5-12,14-17,19,22-27,29,31-33,36-38,40,42-43,45-46,48-49,51-53,56,59-60,64-66,70-80-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R15-precision6'

@attribute LotFrontage numeric
@attribute Neighborhood {CollgCr,Veenker,Crawfor,NoRidge,Mitchel,Somerst,NWAmes,OldTown,BrkSide,Sawyer,NridgHt,NAmes,SawyerW,IDOTRR,MeadowV,Edwards,Timber,Gilbert,StoneBr,ClearCr,NPkVill,Blmngtn,BrDale,SWISU,Blueste}
@attribute OverallQual numeric
@attribute YearRemodAdd numeric
@attribute ExterQual {'\'(-inf-1.3]\'','\'(1.3-1.6]\'','\'(1.6-1.9]\'','\'(1.9-2.2]\'','\'(2.2-2.5]\'','\'(2.5-2.8]\'','\'(2.8-3.1]\'','\'(3.1-3.4]\'','\'(3.4-3.7]\'','\'(3.7-inf)\''}
@attribute BsmtFinSF1 numeric
@attribute TotalBsmtSF numeric
@attribute HeatingQC numeric
@attribute X1stFlrSF numeric
@attribute GrLivArea numeric
@attribute KitchenQual numeric
@attribute TotRmsAbvGrd numeric
@attribute Fireplaces numeric
@attribute GarageFinish {RFn,Unf,Fin,'No garage'}
@attribute GarageCars {'\'(-inf-0.4]\'','\'(0.4-0.8]\'','\'(0.8-1.2]\'','\'(1.2-1.6]\'','\'(1.6-2]\'','\'(2-2.4]\'','\'(2.4-2.8]\'','\'(2.8-3.2]\'','\'(3.2-3.6]\'','\'(3.6-inf)\''}
@attribute GarageArea numeric
@attribute OpenPorchSF numeric
@attribute SalePrice numeric

@data
65,CollgCr,7,2003,'\'(2.8-3.1]\'',706,856,1,856,1710,3,8,0,RFn,'\'(1.6-2]\'',548,61,208500
80,Veenker,6,1976,'\'(3.7-inf)\'',978,1262,1,1262,1262,4,6,1,RFn,'\'(1.6-2]\'',460,0,181500
68,CollgCr,7,2002,'\'(2.8-3.1]\'',486,920,1,920,1786,3,6,1,RFn,'\'(1.6-2]\'',608,42,223500
60,Crawfor,7,1970,'\'(3.7-inf)\'',216,756,3,961,1717,3,7,1,Unf,'\'(2.8-3.2]\'',642,35,140000
84,NoRidge,8,2000,'\'(2.8-3.1]\'',655,1145,1,1145,2198,3,9,1,RFn,'\'(2.8-3.2]\'',836,84,250000
85,Mitchel,5,1995,'\'(3.7-inf)\'',732,796,1,796,1362,4,5,0,Unf,'\'(1.6-2]\'',480,30,143000
75,Somerst,8,2005,'\'(2.8-3.1]\'',1369,1686,1,1694,1694,3,7,1,RFn,'\'(1.6-2]\'',636,57,307000
69,NWAmes,7,1973,'\'(3.7-inf)\'',859,1107,1,1107,2090,4,7,2,RFn,'\'(1.6-2]\'',484,204,200000
51,OldTown,7,1950,'\'(3.7-inf)\'',0,952,3,1022,1774,4,8,2,Unf,'\'(1.6-2]\'',468,0,129900
50,BrkSide,5,1950,'\'(3.7-inf)\'',851,991,1,1077,1077,4,5,2,RFn,'\'(0.8-1.2]\'',205,4,118000
70,Sawyer,5,1965,'\'(3.7-inf)\'',906,1040,1,1040,1040,4,5,0,Unf,'\'(0.8-1.2]\'',384,0,129500
85,NridgHt,9,2006,'\'(-inf-1.3]\'',998,1175,1,1182,2324,1,11,2,Fin,'\'(2.8-3.2]\'',736,21,345000
69,Sawyer,5,1962,'\'(3.7-inf)\'',737,912,4,912,912,4,4,0,Unf,'\'(0.8-1.2]\'',352,0,144000
91,CollgCr,7,2007,'\'(2.8-3.1]\'',0,1494,1,1494,1494,3,7,1,RFn,'\'(2.8-3.2]\'',840,33,279500
69,NAmes,6,1960,'\'(3.7-inf)\'',733,1253,4,1253,1253,4,5,1,RFn,'\'(0.8-1.2]\'',352,213,157000
51,BrkSide,7,2001,'\'(3.7-inf)\'',0,832,1,854,854,4,5,0,Unf,'\'(1.6-2]\'',576,112,132000
69,NAmes,6,1970,'\'(3.7-inf)\'',578,1004,1,1004,1004,4,5,1,Fin,'\'(1.6-2]\'',480,0,149000
72,Sawyer,4,1967,'\'(3.7-inf)\'',0,0,4,1296,1296,4,6,0,Unf,'\'(1.6-2]\'',516,0,90000
66,SawyerW,5,2004,'\'(3.7-inf)\'',646,1114,1,1114,1114,3,6,0,Unf,'\'(1.6-2]\'',576,102,159000
70,NAmes,5,1965,'\'(3.7-inf)\'',504,1029,4,1339,1339,4,6,0,Unf,'\'(0.8-1.2]\'',294,0,139000
